#Group	#Point	x_coord	y_coord	z_coord
1	1	1.0	0.00084	0.0
1	2	0.95033	0.00855	0.0
1	3	0.90054	0.01575	0.0
1	4	0.80078	0.02858	0.0
1	5	0.70081	0.03942	0.0
1	6	0.60068	0.0482	0.0
1	7	0.50039	0.05473	0.0
1	8	0.4	0.05869	0.0
1	9	0.299	0.05875	0.0
1	10	0.24852	0.05677	0.0
1	11	0.19809	0.0532	0.0
1	12	0.14778	0.04776	0.0
1	13	0.09768	0.03987	0.0
1	14	0.07273	0.03471	0.0
1	15	0.04794	0.02829	0.0
1	16	0.02337	0.01944	0.0
1	17	0.01128	0.0138	0.0
1	18	0.0	0.0	0.0
1	19	0.01372	-0.01134	0.0
1	20	0.02663	-0.01493	0.0
1	21	0.05206	-0.01891	0.0
1	22	0.07727	-0.02111	0.0
1	23	0.10232	-0.02237	0.0
1	24	0.15222	-0.02338	0.0
1	25	0.20191	-0.0232	0.0
1	26	0.25148	-0.02239	0.0
1	27	0.301	-0.02125	0.0
1	28	0.4	-0.01869	0.0
1	29	0.49961	-0.01585	0.0
1	30	0.59932	-0.01264	0.0
1	31	0.69919	-0.00942	0.0
1	32	0.79922	-0.00636	0.0
1	33	0.89946	-0.00353	0.0
1	34	0.94967	-0.00217	0.0
1	35	1.0	-0.00084	0.0
1	36	1.0054115175097276	0.0	0.0
1	37	1.0	0.00084	0.0
1	0			
