#Group	#Point	x_coord	y_coord	z_coord
1	1	1.0	0.0019	0.0
1	2	0.95	0.0155	0.0
1	3	0.9	0.0281	0.0
1	4	0.8	0.0508	0.0
1	5	0.7	0.0702	0.0
1	6	0.6	0.0865	0.0
1	7	0.5	0.0989	0.0
1	8	0.4	0.1071	0.0
1	9	0.3	0.1088	0.0
1	10	0.25	0.1065	0.0
1	11	0.2	0.1015	0.0
1	12	0.15	0.0934	0.0
1	13	0.1	0.0805	0.0
1	14	0.075	0.0717	0.0
1	15	0.05	0.0603	0.0
1	16	0.025	0.0445	0.0
1	17	0.0125	0.0328	0.0
1	18	0.0	0.0	0.0
1	19	0.0125	-0.0245	0.0
1	20	0.025	-0.0344	0.0
1	21	0.05	-0.0468	0.0
1	22	0.075	-0.0548	0.0
1	23	0.1	-0.0603	0.0
1	24	0.15	-0.0674	0.0
1	25	0.2	-0.0709	0.0
1	26	0.25	-0.0718	0.0
1	27	0.3	-0.0712	0.0
1	28	0.4	-0.0671	0.0
1	29	0.5	-0.0599	0.0
1	30	0.6	-0.0504	0.0
1	31	0.7	-0.0397	0.0
1	32	0.8	-0.028	0.0
1	33	0.9	-0.0153	0.0
1	34	0.95	-0.0087	0.0
1	35	1.0	-0.0019	0.0
1	0			
