#Group	#Point	x_coord	y_coord	z_coord
1	1	1.0	0.00105	0.0
1	2	0.95041	0.0099	0.0
1	3	0.90067	0.01816	0.0
1	4	0.80097	0.03296	0.0
1	5	0.70102	0.04551	0.0
1	6	0.60085	0.0558	0.0
1	7	0.50049	0.06356	0.0
1	8	0.4	0.06837	0.0
1	9	0.29875	0.06875	0.0
1	10	0.24814	0.06668	0.0
1	11	0.19761	0.06276	0.0
1	12	0.14722	0.05665	0.0
1	13	0.0971	0.04766	0.0
1	14	0.07217	0.04169	0.0
1	15	0.04742	0.0342	0.0
1	16	0.02297	0.02411	0.0
1	17	0.01098	0.01694	0.0
1	18	0.0	0.0	0.0
1	19	0.01402	-0.01448	0.0
1	20	0.02703	-0.01927	0.0
1	21	0.05258	-0.02482	0.0
1	22	0.07783	-0.02809	0.0
1	23	0.1029	-0.03016	0.0
1	24	0.15278	-0.03227	0.0
1	25	0.20239	-0.03276	0.0
1	26	0.25186	-0.0323	0.0
1	27	0.30125	-0.03125	0.0
1	28	0.4	-0.02837	0.0
1	29	0.49951	-0.02468	0.0
1	30	0.59915	-0.02024	0.0
1	31	0.69898	-0.01551	0.0
1	32	0.79903	-0.01074	0.0
1	33	0.89933	-0.00594	0.0
1	34	0.94959	-0.00352	0.0
1	35	1.0	-0.00105	0.0
1	0			
