#Group	#Point	x_coord	y_coord	z_coord
1	1	1.0	0.0022	0.0
1	2	0.95	0.0211	0.0
1	3	0.9	0.0385	0.0
1	4	0.8	0.0691	0.0
1	5	0.7	0.095	0.0
1	6	0.6	0.116	0.0
1	7	0.5	0.1318	0.0
1	8	0.4	0.1416	0.0
1	9	0.3	0.1427	0.0
1	10	0.25	0.1388	0.0
1	11	0.2	0.1317	0.0
1	12	0.15	0.1204	0.0
1	13	0.1	0.1035	0.0
1	14	0.075	0.0924	0.0
1	15	0.05	0.0782	0.0
1	16	0.025	0.0584	0.0
1	17	0.0125	0.0445	0.0
1	18	0.0	0.0	0.0
1	19	0.0125	-0.0242	0.0
1	20	0.025	-0.0348	0.0
1	21	0.05	-0.0478	0.0
1	22	0.075	-0.0562	0.0
1	23	0.1	-0.0615	0.0
1	24	0.15	-0.0675	0.0
1	25	0.2	-0.0698	0.0
1	26	0.25	-0.0692	0.0
1	27	0.3	-0.0676	0.0
1	28	0.4	-0.0616	0.0
1	29	0.5	-0.0534	0.0
1	30	0.6	-0.044	0.0
1	31	0.7	-0.0335	0.0
1	32	0.8	-0.0231	0.0
1	33	0.9	-0.0127	0.0
1	34	0.95	-0.0074	0.0
1	35	1.0	-0.0022	0.0
1	0			
