#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0013,0.0
1,2,0.95,0.0114,0.0
1,3,0.9,0.0208,0.0
1,4,0.8,0.0375,0.0
1,5,0.7,0.0518,0.0
1,6,0.6,0.0636,0.0
1,7,0.5,0.0724,0.0
1,8,0.4,0.078,0.0
1,9,0.3,0.0788,0.0
1,10,0.25,0.0767,0.0
1,11,0.2,0.0726,0.0
1,12,0.15,0.0661,0.0
1,13,0.1,0.0563,0.0
1,14,0.075,0.0496,0.0
1,15,0.05,0.0413,0.0
1,16,0.025,0.0299,0.0
1,17,0.0125,0.0215,0.0
1,18,0.0,0.0,0.0
1,19,0.0125,-0.0165,0.0
1,20,0.025,-0.0227,0.0
1,21,0.05,-0.0301,0.0
1,22,0.075,-0.0346,0.0
1,23,0.1,-0.0375,0.0
1,24,0.15,-0.041,0.0
1,25,0.2,-0.0423,0.0
1,26,0.25,-0.0422,0.0
1,27,0.3,-0.0412,0.0
1,28,0.4,-0.038,0.0
1,29,0.5,-0.0334,0.0
1,30,0.6,-0.0276,0.0
1,31,0.7,-0.0214,0.0
1,32,0.8,-0.015,0.0
1,33,0.9,-0.0082,0.0
1,34,0.95,-0.0048,0.0
1,35,1.0,-0.0013,0.0
1,0,,,
