#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.00157,0.0
1,2,0.9974,0.00223,0.0
1,3,0.9893,0.00419,0.0
1,4,0.9759,0.00739,0.0
1,5,0.95733,0.01172,0.0
1,6,0.93377,0.01705,0.0
1,7,0.90548,0.02323,0.0
1,8,0.87275,0.03006,0.0
1,9,0.83591,0.03738,0.0
1,10,0.79536,0.04498,0.0
1,11,0.75154,0.05267,0.0
1,12,0.7049,0.06025,0.0
1,13,0.65595,0.06753,0.0
1,14,0.60524,0.07431,0.0
1,15,0.55331,0.0804,0.0
1,16,0.50074,0.08562,0.0
1,17,0.44811,0.08978,0.0
1,18,0.39597,0.09272,0.0
1,19,0.34448,0.09409,0.0
1,20,0.29469,0.09366,0.0
1,21,0.24722,0.0914,0.0
1,22,0.20261,0.08736,0.0
1,23,0.16142,0.08163,0.0
1,24,0.12411,0.07438,0.0
1,25,0.09112,0.0658,0.0
1,26,0.06282,0.05615,0.0
1,27,0.03952,0.04566,0.0
1,28,0.02145,0.0346,0.0
1,29,0.00878,0.02319,0.0
1,30,0.00161,0.01161,0.0
1,31,0.0,0.0,0.0
1,32,0.00387,-0.01106,0.0
1,33,0.01308,-0.02103,0.0
1,34,0.0275,-0.02985,0.0
1,35,0.04694,-0.03748,0.0
1,36,0.07115,-0.04387,0.0
1,37,0.09986,-0.04899,0.0
1,38,0.13275,-0.05282,0.0
1,39,0.16945,-0.05539,0.0
1,40,0.2096,-0.05676,0.0
1,41,0.25278,-0.05703,0.0
1,42,0.29857,-0.05633,0.0
1,43,0.34651,-0.05483,0.0
1,44,0.39612,-0.05272,0.0
1,45,0.44737,-0.05003,0.0
1,46,0.49926,-0.04673,0.0
1,47,0.55122,-0.04298,0.0
1,48,0.60267,-0.03893,0.0
1,49,0.65306,-0.03472,0.0
1,50,0.70184,-0.03048,0.0
1,51,0.74846,-0.02628,0.0
1,52,0.79242,-0.02222,0.0
1,53,0.83322,-0.01836,0.0
1,54,0.8704,-0.01477,0.0
1,55,0.90354,-0.01151,0.0
1,56,0.93225,-0.00862,0.0
1,57,0.95622,-0.00616,0.0
1,58,0.97516,-0.00419,0.0
1,59,0.98885,-0.00275,0.0
1,60,0.99712,-0.00187,0.0
1,61,1.0,-0.00157,0.0
1,0,,,
