#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0,0.0
1,2,0.99893,0.00039,0.0
1,3,0.99572,0.00156,0.0
1,4,0.99039,0.00349,0.0
1,5,0.98296,0.0061,0.0
1,6,0.97347,0.00932,0.0
1,7,0.96194,0.01303,0.0
1,8,0.94844,0.01716,0.0
1,9,0.93301,0.02166,0.0
1,10,0.91573,0.02652,0.0
1,11,0.89668,0.03171,0.0
1,12,0.87592,0.03717,0.0
1,13,0.85355,0.04283,0.0
1,14,0.82967,0.04863,0.0
1,15,0.80438,0.05453,0.0
1,16,0.77779,0.06048,0.0
1,17,0.75,0.06642,0.0
1,18,0.72114,0.07227,0.0
1,19,0.69134,0.07795,0.0
1,20,0.66072,0.08341,0.0
1,21,0.62941,0.08858,0.0
1,22,0.59755,0.09341,0.0
1,23,0.56526,0.09785,0.0
1,24,0.5327,0.10185,0.0
1,25,0.5,0.10538,0.0
1,26,0.4673,0.10837,0.0
1,27,0.43474,0.11076,0.0
1,28,0.40245,0.11248,0.0
1,29,0.37059,0.11345,0.0
1,30,0.33928,0.11361,0.0
1,31,0.30866,0.11294,0.0
1,32,0.27886,0.11141,0.0
1,33,0.25,0.10903,0.0
1,34,0.22221,0.10584,0.0
1,35,0.19562,0.1019,0.0
1,36,0.17033,0.09726,0.0
1,37,0.14645,0.09195,0.0
1,38,0.12408,0.08607,0.0
1,39,0.10332,0.0797,0.0
1,40,0.08427,0.07283,0.0
1,41,0.06699,0.06541,0.0
1,42,0.05156,0.05753,0.0
1,43,0.03806,0.04937,0.0
1,44,0.02653,0.04118,0.0
1,45,0.01704,0.03303,0.0
1,46,0.00961,0.02489,0.0
1,47,0.00428,0.01654,0.0
1,48,0.00107,0.00825,0.0
1,49,0.0,0.00075,0.0
1,50,0.00107,-0.00566,0.0
1,51,0.00428,-0.01102,0.0
1,52,0.00961,-0.0159,0.0
1,53,0.01704,-0.02061,0.0
1,54,0.02653,-0.02502,0.0
1,55,0.03806,-0.02915,0.0
1,56,0.05156,-0.03281,0.0
1,57,0.06699,-0.03582,0.0
1,58,0.08427,-0.03817,0.0
1,59,0.10332,-0.03991,0.0
1,60,0.12408,-0.04106,0.0
1,61,0.14645,-0.04166,0.0
1,62,0.17033,-0.04177,0.0
1,63,0.19562,-0.04147,0.0
1,64,0.22221,-0.04078,0.0
1,65,0.25,-0.03974,0.0
1,66,0.27886,-0.03845,0.0
1,67,0.30866,-0.037,0.0
1,68,0.33928,-0.03547,0.0
1,69,0.37059,-0.0339,0.0
1,70,0.40245,-0.03229,0.0
1,71,0.43474,-0.03063,0.0
1,72,0.4673,-0.02891,0.0
1,73,0.5,-0.02713,0.0
1,74,0.5327,-0.02529,0.0
1,75,0.56526,-0.0234,0.0
1,76,0.59755,-0.02149,0.0
1,77,0.62941,-0.01958,0.0
1,78,0.66072,-0.01772,0.0
1,79,0.69134,-0.01596,0.0
1,80,0.72114,-0.0143,0.0
1,81,0.75,-0.01277,0.0
1,82,0.77779,-0.01136,0.0
1,83,0.80438,-0.01006,0.0
1,84,0.82967,-0.00886,0.0
1,85,0.85355,-0.00775,0.0
1,86,0.87592,-0.00674,0.0
1,87,0.89668,-0.00583,0.0
1,88,0.91573,-0.00502,0.0
1,89,0.93301,-0.00431,0.0
1,90,0.94844,-0.00364,0.0
1,91,0.96194,-0.00297,0.0
1,92,0.97347,-0.00227,0.0
1,93,0.98296,-0.00156,0.0
1,94,0.99039,-0.00092,0.0
1,95,0.99572,-0.00042,0.0
1,96,0.99893,-0.00011,0.0
1,97,1.0,0.0,0.0
1,0,,,
