#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0022,0.0
1,2,0.95,0.0176,0.0
1,3,0.9,0.0318,0.0
1,4,0.8,0.0574,0.0
1,5,0.7,0.0794,0.0
1,6,0.6,0.0979,0.0
1,7,0.5,0.1122,0.0
1,8,0.4,0.1216,0.0
1,9,0.3,0.1238,0.0
1,10,0.25,0.1215,0.0
1,11,0.2,0.1159,0.0
1,12,0.15,0.107,0.0
1,13,0.1,0.0928,0.0
1,14,0.075,0.0829,0.0
1,15,0.05,0.07,0.0
1,16,0.025,0.0521,0.0
1,17,0.0125,0.0387,0.0
1,18,0.0,0.0,0.0
1,19,0.0125,-0.0282,0.0
1,20,0.025,-0.0402,0.0
1,21,0.05,-0.0551,0.0
1,22,0.075,-0.0648,0.0
1,23,0.1,-0.0718,0.0
1,24,0.15,-0.0805,0.0
1,25,0.2,-0.0852,0.0
1,26,0.25,-0.0867,0.0
1,27,0.3,-0.0862,0.0
1,28,0.4,-0.0816,0.0
1,29,0.5,-0.0731,0.0
1,30,0.6,-0.0617,0.0
1,31,0.7,-0.0487,0.0
1,32,0.8,-0.0344,0.0
1,33,0.9,-0.0188,0.0
1,34,0.95,-0.0106,0.0
1,35,1.0,-0.0022,0.0
1,0,,,
