#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0019,0.0
1,2,0.95,0.0189,0.0
1,3,0.9,0.0346,0.0
1,4,0.8,0.0622,0.0
1,5,0.7,0.0855,0.0
1,6,0.6,0.1044,0.0
1,7,0.5,0.1185,0.0
1,8,0.4,0.127,0.0
1,9,0.3,0.1276,0.0
1,10,0.25,0.124,0.0
1,11,0.2,0.1172,0.0
1,12,0.15,0.1066,0.0
1,13,0.1,0.0911,0.0
1,14,0.075,0.0806,0.0
1,15,0.05,0.0675,0.0
1,16,0.025,0.05,0.0
1,17,0.0125,0.0376,0.0
1,18,0.0,0.0,0.0
1,19,0.0125,-0.0211,0.0
1,20,0.025,-0.0299,0.0
1,21,0.05,-0.0406,0.0
1,22,0.075,-0.0467,0.0
1,23,0.1,-0.0506,0.0
1,24,0.15,-0.0549,0.0
1,25,0.2,-0.0556,0.0
1,26,0.25,-0.0549,0.0
1,27,0.3,-0.0526,0.0
1,28,0.4,-0.047,0.0
1,29,0.5,-0.0402,0.0
1,30,0.6,-0.0324,0.0
1,31,0.7,-0.0245,0.0
1,32,0.8,-0.0167,0.0
1,33,0.9,-0.0093,0.0
1,34,0.95,-0.0055,0.0
1,35,1.0,-0.0019,0.0
1,0,,,
